#,Company,Symbol,Weight,Price,Chg,% Chg
1,Apple Inc.,AAPL,8.252851,248.16,3.38,(1.38%)
2,UnitedHealth Group Incorporated,UNH,7.41064,223.33,3.53,(1.61%)
3,Home Depot Inc.,HD,5.432559,161.98,0.85,(0.52%)
4,Visa Inc. Class A,V,5.133166,150.64,-1.61,(-1.06%)
5,McDonald's Corporation,MCD,5.040449,155.06,5.56,(3.72%)
6,Goldman Sachs Group Inc.,GS,5.040112,144.64,-4.85,(-3.24%)
7,Microsoft Corporation,MSFT,4.811522,143.13,0.42,(0.29%)
8,3M Company,MMM,4.636202,131.16,-6.35,(-4.62%)
9,Johnson & Johnson,JNJ,4.283539,124.54,-2.51,(-1.98%)
10,Walmart Inc.,WMT,4.027302,115.27,-4.18,(-3.50%)
11,Procter & Gamble Company,PG,3.736676,105.91,-4.92,(-4.44%)
12,Caterpillar Inc.,CAT,3.473022,98.65,-4.37,(-4.24%)
13,International Business Machines Corporation,IBM,3.383001,97.22,-3.12,(-3.11%)
14,Boeing Company,BA,3.294329,98.50,0.79,(0.81%)
15,Walt Disney Company,DIS,3.200601,88.55,-6.39,(-6.73%)
16,Travelers Companies Inc.,TRV,2.901883,92.82,6.75,(7.84%)
17,JPMorgan Chase & Co.,JPM,2.875922,87.13,1.83,(2.15%)
18,United Technologies Corporation,UTX,2.824,83.29,-0.47,(-0.56%)
19,American Express Company,AXP,2.598444,79.16,2.09,(2.71%)
20,Merck & Co. Inc.,MRK,2.384689,71.19,0.46,(0.65%)
21,NIKE Inc. Class B,NKE,2.37154,70.86,0.52,(0.74%)
22,Chevron Corporation,CVX,1.934926,57.45,0.06,(0.10%)
23,Verizon Communications Inc.,VZ,1.807819,51.36,-2.26,(-4.21%)
24,Walgreens Boots Alliance Inc,WBA,1.636882,45.08,-3.47,(-7.15%)
25,Intel Corporation,INTC,1.548885,48.19,2.25,(4.90%)
26,Coca-Cola Company,KO,1.410314,40.73,-1.10,(-2.63%)
27,Cisco Systems Inc.,CSCO,1.271407,36.17,-1.54,(-4.08%)
28,Exxon Mobil Corporation,XOM,1.16082,33.11,-1.32,(-3.83%)
29,Pfizer Inc.,PFE,1.025622,29.90,-0.52,(-1.71%)
30,Dow Inc.,DOW,0.948076,27.44,-0.68,(-2.42%)
