,Company  Name,Details,Symbol,First Trade Date,sector / industry
1694,(GT)  Goodyear Tire & Rubber Co.,Stock Research for GT,GT,1962-01-02,"('Consumer Cyclical', 'Auto Parts')"
1147,(ED)  Consolidated Edison Inc.,Stock Research for ED,ED,1962-01-02,"('Utilities', 'Utilities—Regulated Electric')"
1567,(GE)  General Electric Co.,Stock Research for GE,GE,1962-01-02,"('Industrials', 'Specialty Industrial Machinery')"
2008,(IP)  International Paper Co.,Stock Research for IP,IP,1962-01-02,"('Consumer Cyclical', 'Packaging & Containers')"
2121,(JNJ)  Johnson & Johnson,Stock Research for JNJ,JNJ,1962-01-02,"('Healthcare', 'Drug Manufacturers—General')"
2193,(KO)  Coca-Cola Co. (The),Stock Research for KO,KO,1962-01-02,"('Consumer Defensive', 'Beverages—Non-Alcoholic')"
1415,(FL)  Foot Locker Inc.,Stock Research for FL,FL,1962-01-02,"('Consumer Cyclical', 'Footwear & Accessories')"
1817,(HPQ)  HP Inc.,Stock Research for HPQ,HPQ,1962-01-02,"('Technology', 'Computer Hardware')"
4274,(XOM)  Exxon Mobil Corp.,Stock Research for XOM,XOM,1962-01-02,"('Energy', 'Oil & Gas Integrated')"
1887,(IBM)  Intl. Business Machines,Stock Research for IBM,IBM,1962-01-02,"('Technology', 'Information Technology Services')"
622,(CAT)  Caterpillar Inc.,Stock Research for CAT,CAT,1962-01-02,"('Industrials', 'Farm & Heavy Construction Machinery')"
1101,(DTE)  DTE Energy Co. Hldgs.,Stock Research for DTE,DTE,1962-01-02,"('Utilities', 'Utilities—Regulated Electric')"
1044,(DIS)  Walt Disney Company (The),Stock Research for DIS,DIS,1962-01-02,"('Communication Services', 'Entertainment')"
948,(CVX)  ChevronTexaco,Stock Research for CVX,CVX,1962-01-02,"('Energy', 'Oil & Gas Integrated')"
2938,(PG)  Procter & Gamble Co. (The),Stock Research for PG,PG,1962-01-02,"('Consumer Defensive', 'Household & Personal Products')"
2598,(NAV)  Navistar Intl. Corp.,Stock Research for NAV,NAV,1962-01-02,"('Industrials', 'Farm & Heavy Construction Machinery')"
385,(BA)  Boeing Co. (The),Stock Research for BA,BA,1962-01-02,"('Industrials', 'Aerospace & Defense')"
1,(AA)  ALCOA Inc.,Stock Research for AA,AA,1962-01-02,"('Basic Materials', 'Aluminum')"
2503,(MO)  Altria Group Inc.,Stock Research for MO,MO,1962-01-02,"('Consumer Defensive', 'Tobacco')"
2399,(MCD)  McDonalds Corp.,Stock Research for MCD,MCD,1966-07-05,"('Consumer Cyclical', 'Restaurants')"
3279,(RTX)  Raytheon Technologies Corp.,Stock Research for RTX,RTX,1970-01-02,"('Industrials', 'Aerospace & Defense')"
82,(AEP)  American Electric Power Co. Inc.,Stock Research for AEP,AEP,1970-01-02,"('Utilities', 'Utilities—Regulated Electric')"
2491,(MMM)  3M Co.,Stock Research for MMM,MMM,1970-01-02,"('Industrials', 'Specialty Industrial Machinery')"
2526,(MRK)  Merck & Co. Inc.,Stock Research for MRK,MRK,1970-01-02,"('Healthcare', 'Drug Manufacturers—General')"
798,(CNP)  CenterPoint Energy Inc.,Stock Research for CNP,CNP,1970-01-02,"('Utilities', 'Utilities—Regulated Gas')"
1811,(HON)  Honeywell Inc.,Stock Research for HON,HON,1970-01-02,"('Industrials', 'Specialty Industrial Machinery')"
2531,(MRO)  Marathon Oil Corp.,Stock Research for MRO,MRO,1970-01-02,"('Energy', 'Oil & Gas E&P')"
4167,(WFC)  Wells Fargo & Co.,Stock Research for WFC,WFC,1972-06-01,"('Financial Services', 'Banks—Diversified')"
1727,(HAL)  Halliburton Co.,Stock Research for HAL,HAL,1972-06-01,"('Energy', 'Oil & Gas Equipment & Services')"
3455,(SJW)  SJW Corp.,Stock Research for SJW,SJW,1972-06-01,"('Utilities', 'Utilities—Regulated Water')"
1269,(ETR)  Entergy Corp.,Stock Research for ETR,ETR,1972-06-01,"('Utilities', 'Utilities—Diversified')"
2300,(LLY)  Eli Lilly and Co,Stock Research for LLY,LLY,1972-06-01,"('Healthcare', 'Drug Manufacturers—General')"
1268,(ETN)  Eaton Corp. plc,Stock Research for ETN,ETN,1972-06-01,"('Industrials', 'Specialty Industrial Machinery')"
368,(AXP)  American Express Co.,Stock Research for AXP,AXP,1972-06-01,"('Financial Services', 'Credit Services')"
1005,(DD)  DuPont de Nemours Inc.,Stock Research for DD,DD,1972-06-01,"('Basic Materials', 'Chemicals')"
1203,(EMR)  Emerson Electric Co.,Stock Research for EMR,EMR,1972-06-01,"('Industrials', 'Specialty Industrial Machinery')"
2927,(PFE)  Pfizer Inc.,Stock Research for PFE,PFE,1972-06-01,"('Healthcare', 'Drug Manufacturers—General')"
3887,(TXN)  Texas Instruments Inc.,Stock Research for TXN,TXN,1972-06-01,"('Technology', 'Semiconductors')"
3931,(UIS)  Unisys Corp.,Stock Research for UIS,UIS,1972-06-01,"('Technology', 'Information Technology Services')"
