#,Company,Symbol,Weight,Price,Chg,% Chg
1,Microsoft Corporation,MSFT,5.450191,142.92,0.21,(0.15%)
2,Apple Inc.,AAPL,5.118085,247.93,3.15,(1.29%)
3,Amazon.com Inc.,AMZN,3.922131,"1,873.07",-7.86,(-0.42%)
4,Facebook Inc. Class A,FB,1.844728,153.38,0.25,(0.16%)
5,Berkshire Hathaway Inc. Class B,BRK.B,1.710461,172.24,-2.44,(-1.40%)
6,Johnson & Johnson,JNJ,1.673907,124.39,-2.66,(-2.09%)
7,Alphabet Inc. Class C,GOOG,1.668702,"1,099.18",-16.11,(-1.44%)
8,Alphabet Inc. Class A,GOOGL,1.667435,"1,092.62",-19.05,(-1.71%)
9,Procter & Gamble Company,PG,1.383934,106.41,-4.42,(-3.99%)
10,JPMorgan Chase & Co.,JPM,1.339904,87.13,1.83,(2.15%)
11,Visa Inc. Class A,V,1.305297,150.80,-1.45,(-0.95%)
12,AT&T Inc.,T,1.13957,28.93,-2.22,(-7.13%)
13,Verizon Communications Inc.,VZ,1.110457,51.42,-2.21,(-4.11%)
14,UnitedHealth Group Incorporated,UNH,1.042786,224.29,4.49,(2.04%)
15,Mastercard Incorporated Class A,MA,1.009664,219.85,-7.30,(-3.21%)
16,Intel Corporation,INTC,1.000787,48.18,2.24,(4.87%)
17,Merck & Co. Inc.,MRK,0.901664,71.32,0.59,(0.83%)
18,Home Depot Inc.,HD,0.880243,162.08,0.95,(0.59%)
19,Bank of America Corp,BAC,0.859498,20.77,-0.43,(-2.03%)
20,Walt Disney Company,DIS,0.856747,88.70,-6.23,(-6.56%)
21,Walmart Inc.,WMT,0.848611,115.57,-3.88,(-3.25%)
22,Pfizer Inc.,PFE,0.842929,29.99,-0.43,(-1.41%)
23,PepsiCo Inc.,PEP,0.819565,112.54,-4.80,(-4.09%)
24,Comcast Corporation Class A,CMCSA,0.81696,34.00,-1.95,(-5.41%)
25,Coca-Cola Company,KO,0.807667,40.72,-1.11,(-2.65%)
26,Cisco Systems Inc.,CSCO,0.801009,36.21,-1.50,(-3.98%)
27,Adobe Inc.,ADBE,0.745474,311.50,3.99,(1.30%)
28,Exxon Mobil Corporation,XOM,0.729464,33.34,-1.09,(-3.17%)
29,Netflix Inc.,NFLX,0.728551,340.05,8.02,(2.41%)
30,Costco Wholesale Corporation,COST,0.675019,297.35,-7.87,(-2.58%)
31,Abbott Laboratories,ABT,0.659146,71.45,-3.05,(-4.09%)
32,NVIDIA Corporation,NVDA,0.652468,218.28,5.31,(2.49%)
33,salesforce.com inc.,CRM,0.619251,140.99,1.53,(1.10%)
34,Amgen Inc.,AMGN,0.591211,190.12,-8.64,(-4.35%)
35,Bristol-Myers Squibb Company,BMY,0.57255,50.13,1.34,(2.75%)
36,McDonald's Corporation,MCD,0.56432,154.55,5.05,(3.38%)
37,Thermo Fisher Scientific Inc.,TMO,0.563741,280.85,0.01,(0.00%)
38,Eli Lilly and Company,LLY,0.563281,128.36,-4.73,(-3.55%)
39,PayPal Holdings Inc,PYPL,0.550582,91.53,-2.16,(-2.31%)
40,Wells Fargo & Company,WFC,0.545743,27.22,-1.07,(-3.78%)
41,Chevron Corporation,CVX,0.543465,57.57,0.18,(0.31%)
42,Medtronic Plc,MDT,0.532235,78.66,-0.56,(-0.71%)
43,AbbVie Inc.,ABBV,0.526735,69.76,-1.30,(-1.83%)
44,Philip Morris International Inc.,PM,0.518064,62.60,-3.83,(-5.77%)
45,NextEra Energy Inc.,NEE,0.507365,204.56,-2.54,(-1.23%)
46,Accenture Plc Class A,ACN,0.504305,150.59,-7.91,(-4.99%)
47,Gilead Sciences Inc.,GILD,0.496916,75.10,-3.45,(-4.39%)
48,Oracle Corporation,ORCL,0.489437,45.22,0.15,(0.33%)
49,Texas Instruments Incorporated,TXN,0.47589,101.39,-0.18,(-0.18%)
50,American Tower Corporation,AMT,0.464063,206.95,-2.05,(-0.98%)
51,International Business Machines Corporation,IBM,0.445436,97.40,-2.94,(-2.93%)
52,NIKE Inc. Class B,NKE,0.438931,71.19,0.85,(1.21%)
53,Citigroup Inc.,C,0.433793,39.31,-0.33,(-0.82%)
54,Honeywell International Inc.,HON,0.426017,117.91,-1.06,(-0.89%)
55,Union Pacific Corporation,UNP,0.423311,121.00,-0.65,(-0.53%)
56,Linde plc,LIN,0.414342,157.64,3.63,(2.36%)
57,Danaher Corporation,DHR,0.397965,125.00,0.81,(0.65%)
58,3M Company,MMM,0.395434,131.78,-5.74,(-4.17%)
59,Lockheed Martin Corporation,LMT,0.389923,299.80,-14.40,(-4.58%)
60,Broadcom Inc.,AVGO,0.386589,197.32,2.87,(1.47%)
61,QUALCOMM Incorporated,QCOM,0.371029,64.66,-0.34,(-0.52%)
62,Starbucks Corporation,SBUX,0.363533,61.07,-0.34,(-0.55%)
63,CVS Health Corporation,CVS,0.361136,55.18,-0.20,(-0.36%)
64,Altria Group Inc,MO,0.346289,35.68,-1.42,(-3.83%)
65,United Technologies Corporation,UTX,0.340634,84.05,0.29,(0.35%)
66,United Parcel Service Inc. Class B,UPS,0.338092,94.63,-1.62,(-1.68%)
67,Mondelez International Inc. Class A,MDLZ,0.327461,44.99,-0.48,(-1.06%)
68,Fidelity National Information Services Inc.,FIS,0.324196,103.29,-1.94,(-1.84%)
69,Charter Communications Inc. Class A,CHTR,0.308879,381.61,-11.45,(-2.91%)
70,Becton Dickinson and Company,BDX,0.299541,221.47,0.51,(0.23%)
71,Dominion Energy Inc,D,0.296422,69.15,-2.70,(-3.76%)
72,Colgate-Palmolive Company,CL,0.285642,66.16,-0.49,(-0.74%)
73,Caterpillar Inc.,CAT,0.285376,98.56,-4.45,(-4.32%)
74,General Electric Company,GE,0.283666,6.74,0.26,(4.01%)
75,Allergan plc,AGN,0.281132,171.81,0.55,(0.32%)
76,Intuit Inc.,INTU,0.280423,204.43,-11.46,(-5.31%)
77,CME Group Inc. Class A,CME,0.278842,153.48,-1.74,(-1.12%)
78,Vertex Pharmaceuticals Incorporated,VRTX,0.27801,213.11,-2.58,(-1.20%)
79,Cigna Corporation,CI,0.274285,144.77,-1.75,(-1.19%)
80,Duke Energy Corporation,DUK,0.274263,73.23,-1.82,(-2.43%)
81,Crown Castle International Corp,CCI,0.271005,133.63,2.88,(2.20%)
82,Lowe's Companies Inc.,LOW,0.26821,70.25,0.38,(0.54%)
83,Southern Company,SO,0.267572,49.14,-1.77,(-3.47%)
84,ServiceNow Inc.,NOW,0.262471,270.23,-7.43,(-2.68%)
85,Boeing Company,BA,0.261866,98.97,1.26,(1.29%)
86,Biogen Inc.,BIIB,0.26055,286.43,-1.59,(-0.55%)
87,American Express Company,AXP,0.259214,79.36,2.29,(2.97%)
88,Anthem Inc.,ANTM,0.25534,203.48,2.61,(1.30%)
89,Target Corporation,TGT,0.255053,98.73,-1.77,(-1.76%)
90,S&P Global Inc.,SPGI,0.254909,210.15,2.37,(1.14%)
91,Automatic Data Processing Inc.,ADP,0.254345,112.08,-5.29,(-4.51%)
92,TJX Companies Inc,TJX,0.253169,41.27,-0.38,(-0.91%)
